
    Variable |         N      Mean        SD       Min       Max
-------------+--------------------------------------------------
  hhd_impcr2 |       506  .4071146  .4917827         0         1
    maize_cg |       506   .701581  .4580171         0         1
  innov_own1 |       506  .1521739  .3595448         0         1
  innov_own2 |       506  .3814229  .4862167         0         1
  innov_own3 |       506  .4664032  .4993637         0         1
    hhd_flab |       506  .0731225  .2605952         0         1
     flivman |       468  .8418803  .3652436         0         1
 parcesizeHA |       491  1.094662  .9372993    .01041  5.780165
 asset_index |       490 -2.676151  1.179857 -4.420056  4.667204
  pssetindex |       491  1.650698  1.177219 -1.323338  3.864541
income_off~m |       491  1776.731  6456.634         0     70000
total_cons~n |       491  50371.69  53572.79       440  836716.4
   nmtotcons |       491  13055.62  13574.34  265.9306  153808.2
      consq1 |       491  .2953157  .4566498         0         1
      consq2 |       491  .5274949  .4997526         0         1
     adulteq |       491  4.232485  1.728296       .74      9.87
    age_head |       491   46.6334  14.95585        20        85
     cs4q011 |       492  .1585366  .3656151         0         1
      cs4q15 |       178  10.39888  7.343347         0        36
      cs4q53 |       269    19.829  30.17141         0       200
  ldist_road |       502  2.057905  1.476559 -2.302585  4.189655
ldist_market |       506  3.722232  1.025385  .6418539  5.435903
ldist_popcen |       506    2.9728  .8459141  .6418539  4.859037
----------------------------------------------------------------
