
    Variable |         N      Mean        SD       Min       Max
-------------+--------------------------------------------------
    hhd_flab |      2879  .0593956  .2364047         0         1
     flivman |      2358  .8312129  .3746432         0         1
 parcesizeHA |      2759  .7472555  .9191887         0  7.279137
  pssetindex |      2775  1.115449  1.440812 -1.323338  5.422297
income_off~n |      2775  1651.819   4746.29         0     30000
nmtotcons_~n |      2775  14045.94  11565.97  2232.864     71102
      consq2 |      2775  .4972973  .5000828         0         1
    age_head |      2775  44.17297  15.28799        19        85
 dist_market |      2899  66.60048  53.64222       1.9     291.5
largerum_c~n |      1778  .0545557  .2271748         0         1
poultry_cr~n |      1252  .2348243  .4240583         0         1
   barley_cg |       222  .1216216  .3275869         0         1
        dtmz |       447  .1275168  .3339247         0         1
   hhd_rdisp |      2200  .0654545  .2473824         0         1
     hhd_swc |      2249  .7118719  .4529917         0         1
  hhd_mintil |      1895  .5319261  .4991114         0         1
 hhd_avocado |      2199  .0877672  .2830203         0         1
  hhd_papaya |      2199  .0654843  .2474348         0         1
   hhd_mango |      2199  .1473397  .3545249         0         1
    hhd_psnp |      2775  .1524324  .3595043         0         1
----------------------------------------------------------------
